,watchers,stars,forks,type,issues,size,open_issues_count,num_languages,language_1,language_1_size,language_2,language_2_size,language_3,language_3_size
96697,1,1,1,User,0,146,0,0,Ruby,0.0,0,0.0,0,0.0
66721,2,2,1,User,1,132,1,1,Perl,10561.0,0,0.0,0,0.0
14173,3,8,2,User,0,270,0,2,Ruby,16419.0,Objective-C,290.0,0,0.0
6353,2,2,0,User,0,89,0,1,Ruby,246.0,0,0.0,0,0.0
44984,2,1,1,User,0,190,0,0,Ruby,0.0,0,0.0,0,0.0
30530,2,1,0,User,0,116,0,0,0,0.0,0,0.0,0,0.0
102939,0,1,1,User,0,810,0,0,Ruby,0.0,0,0.0,0,0.0
12886,2,2,1,User,0,2741,0,0,Ruby,0.0,0,0.0,0,0.0
47604,2,1,0,User,0,184,0,2,Ruby,29416.0,JavaScript,148.0,0,0.0
33987,1,2,0,User,0,76,0,0,0,0.0,0,0.0,0,0.0
89074,1,1,0,User,0,48,0,0,0,0.0,0,0.0,0,0.0
23999,2,2,0,User,0,484,0,1,Ruby,7919.0,0,0.0,0,0.0
68800,1,1,0,User,0,336,0,1,C++,24860.0,0,0.0,0,0.0
73433,1,1,0,User,0,48,0,0,0,0.0,0,0.0,0,0.0
4503,2,2,1,User,0,80,0,1,Ruby,2379.0,0,0.0,0,0.0
5427,3,5,0,User,0,400,0,2,Ruby,69316.0,JavaScript,148.0,0,0.0
103669,1,0,1,User,0,529,0,4,Verilog,306428.0,Haskell,10073.0,Shell,930.0
35853,35,391,72,Organization,27,545,27,4,Java,92320.0,CSS,11747.0,Scala,5731.0
44815,1,1,0,User,0,91,0,1,Ruby,18978.0,0,0.0,0,0.0
119364,1,0,2,User,0,88,0,1,Ruby,8784.0,0,0.0,0,0.0
10005,2,2,0,User,0,118,0,2,Ruby,44756.0,JavaScript,25082.0,0,0.0
32195,2,0,0,User,0,48,0,0,0,0.0,0,0.0,0,0.0
64431,1,12,1,Organization,0,149,0,1,Python,43810.0,0,0.0,0,0.0
127565,1,1,0,Organization,0,104,0,1,PHP,7370.0,0,0.0,0,0.0
56527,2,1,1,User,0,654,0,0,Ruby,0.0,0,0.0,0,0.0
107935,1,4,0,User,0,1688,0,2,C++,72846.0,Objective-C,13864.0,0,0.0
34892,2,1,0,User,0,72,0,0,0,0.0,0,0.0,0,0.0
32717,2,5,1,User,1,100,1,1,JavaScript,3369.0,0,0.0,0,0.0
100343,2,2,0,User,0,596,0,1,C,424230.0,0,0.0,0,0.0
73135,1,2,1,User,0,477,0,0,Ruby,0.0,0,0.0,0,0.0
3308,2,2,0,User,0,116,0,1,C#,25523.0,0,0.0,0,0.0
102684,8,38,13,User,5,805,5,2,C#,48464.0,Shell,247.0,0,0.0
96275,1,1,0,User,0,100,0,1,Python,4622.0,0,0.0,0,0.0
28963,2,2,1,User,0,2022,0,6,C,1580667.0,Perl,145179.0,Python,142570.0
13361,2,2,0,User,0,80,0,0,0,0.0,0,0.0,0,0.0
43119,2,7,2,User,0,401,0,2,C,2419112.0,Ruby,52578.0,0,0.0
76640,1,1,0,User,0,76,0,0,0,0.0,0,0.0,0,0.0
35549,3,1,0,User,0,72,0,0,0,0.0,0,0.0,0,0.0
62421,2,1,0,User,0,38620,0,3,C++,440320.0,Python,256948.0,Shell,1743.0
81627,1,0,0,User,0,1104,0,3,Ruby,19825.0,JavaScript,148.0,Shell,46.0
109541,1,0,0,User,0,236,0,2,Objective-C,27156.0,C,3076.0,0,0.0
69800,1,1,1,User,0,478,0,2,JavaScript,22372.0,Groovy,732.0,0,0.0
50143,2,1,0,User,0,48,0,0,0,0.0,0,0.0,0,0.0
58943,2,1,0,User,0,1700,0,1,Perl,11530.0,0,0.0,0,0.0
124574,1,17,4,User,0,175,0,1,PHP,53978.0,0,0.0,0,0.0
99304,1,1,0,User,0,3476,0,2,Ruby,361435.0,JavaScript,93992.0,0,0.0
33520,2,1,1,User,0,1020,0,0,Ruby,0.0,0,0.0,0,0.0
50423,2,2,0,User,0,88,0,1,Ruby,13655.0,0,0.0,0,0.0
26650,2,1,0,User,0,9876,0,2,JavaScript,15008.0,Python,442.0,0,0.0
87565,1,1,0,User,0,76,0,1,C,689.0,0,0.0,0,0.0
104667,0,2,2,User,0,182,0,2,Ruby,29344.0,JavaScript,148.0,0,0.0
59396,1,3,0,User,0,468,0,0,0,0.0,0,0.0,0,0.0
120884,1,0,0,User,0,48,0,0,0,0.0,0,0.0,0,0.0
95072,1,1,1,User,0,188,0,0,Ruby,0.0,0,0.0,0,0.0
86926,1,2,1,User,0,75,0,1,Perl,1413.0,0,0.0,0,0.0
100819,1,1,0,User,0,96,0,1,ActionScript,346.0,0,0.0,0,0.0
87413,1,2,1,User,0,93,0,1,Python,986.0,0,0.0,0,0.0
52596,2,1,0,User,0,48,0,0,0,0.0,0,0.0,0,0.0
14149,5,66,73,Organization,0,12746,0,3,Java,2959294.0,PLpgSQL,93336.0,Makefile,3792.0
22253,2,1,0,User,0,4997,0,0,Ruby,0.0,0,0.0,0,0.0
8960,2,3,0,User,0,84,0,1,Ruby,2176.0,0,0.0,0,0.0
25488,2,2,0,User,0,1272,0,0,Ruby,0.0,0,0.0,0,0.0
67727,1,1,1,User,0,319,0,1,Ruby,30722.0,0,0.0,0,0.0
96853,6,85,4,User,2,131,2,1,VimL,10889.0,0,0.0,0,0.0
130602,1,2,1,User,0,938,0,0,C,0.0,0,0.0,0,0.0
