,stars
96697,1
66721,2
14173,8
6353,2
44984,1
30530,1
102939,1
12886,2
47604,1
33987,2
89074,1
23999,2
68800,1
73433,1
4503,2
5427,5
103669,0
35853,391
44815,1
119364,0
10005,2
32195,0
64431,12
127565,1
56527,1
107935,4
34892,1
32717,5
100343,2
73135,2
3308,2
102684,38
96275,1
28963,2
13361,2
43119,7
76640,1
35549,1
62421,1
81627,0
109541,0
69800,1
50143,1
58943,1
124574,17
99304,1
33520,1
50423,2
26650,1
87565,1
104667,2
59396,3
120884,0
95072,1
86926,2
100819,1
87413,2
52596,1
14149,66
22253,1
8960,3
25488,2
67727,1
96853,85
130602,2
92681,1
5341,3
121427,1
44211,1
53034,3
98444,4
128568,1
120535,1
88175,1
26490,11
36085,2
108034,12
5330,2
19990,4
22529,5
18590,2
52113,4
56044,53
127814,0
37892,1
30664,1
23707,3
120298,3
17292,2
9618,3
86619,1
17917,39
92716,1
83120,2
76186,66
7890,2
13814,3
127486,1
30759,4
117853,1
12577,3
19037,4
130827,1
93585,1
99851,1
71595,1
78297,3
74000,1
4123,5
31737,4
36288,4
14894,2
44583,1
113395,11
116190,31
129055,7
68815,1
78950,1
86292,5
33407,1
135774,1
79001,1
57185,76
66258,1
44311,2
101351,1
40006,1
88101,1
17466,4
111876,4
62721,2
43696,1
83957,1
27264,4
25334,4
42327,4
127608,3
131058,1
29024,1
127187,1
116403,1
65135,1
106563,1
74006,2
73514,1
104871,1
67501,1
58232,1
76484,1
80871,1
72511,1
105465,1
101640,1
67598,3
91758,1
94053,1
41000,37
130287,1
26090,12
77008,1
15595,2
27890,7
27184,1
6901,8
94277,1
41126,1
52866,3
109752,1
122316,1
77929,1
15428,2
50268,1
46650,5
64553,1
36095,11
56377,1
90218,2
85137,1
47434,2
8708,3
87276,1
127430,19
63540,1
107393,0
39064,1
102357,2
35760,4
24475,2
106126,0
109437,2
54904,12
126868,1
26688,1
77107,1
1592,3
3408,111
103026,2
46363,3
131725,1
53615,1
136754,5
78976,1
78610,131
55704,1
2485,9
124711,13
100102,1
54726,1
88637,1
62142,27
111881,1
113280,2
93196,0
71627,1
104927,1
17060,4
7531,4
93275,1
873,4
108436,2
37811,45
34955,0
78591,1
41410,11
38827,1
15664,2
29217,0
6073,2
40722,3
42721,92
3397,11
65371,2
131058,1
133241,1
7265,8
111125,1
108935,1
76221,41
37312,1
18784,2
6821,2
70546,1
50446,1
37314,1
136496,1
103978,1
67932,1
121396,3
74511,1
24102,2
92201,4
116645,2
1526,6
93091,2
35894,1
13100,2
61090,1
70461,2
434,4
68290,16
14494,2
64416,2
112718,1
90038,1
42442,1
134670,4
8205,4
58223,4
44895,3
43038,1
26570,14
124903,1
15659,2
99776,1
3177,1
127717,1
82821,2
84273,2
112731,2
69643,2
63724,17
29330,5
84536,2
104517,1
63344,10
25744,4
39474,1
36286,1
84170,1
66103,1
66545,1
100325,56
43379,2
31266,1
21749,2
101054,1
32700,1
6445,2
14256,2
16924,11
41813,0
125493,15
118902,1
5830,1
84471,1
15895,3
36214,1
39046,1
136586,1
63236,0
123528,3
107680,7
108593,1
58335,1
346,5
100469,1
111804,0
40397,4
5099,6
104194,18
111096,2
45087,1
46401,1
3575,6
80940,1
57689,4
34269,1
3420,19
50682,2
71754,1
61241,2
98700,1
48411,0
62220,2
31309,3
99153,7
119604,1
28529,2
3705,3
67387,5
121199,1
8393,110
118005,1
132905,1
46001,3
5399,3
81652,80
41702,2
119584,1
80806,7
51372,1
115972,1
93251,3
2647,30
128281,1
1282,3
19040,3
83408,2
42723,1
31219,2
105945,1
22314,2
122649,1
55361,3
86973,1
116613,3
88184,1
42531,2
84239,1
71590,1
71003,3
14413,67
130210,2
14321,2
41724,2
35700,2
6371,46
57946,4
42174,1
43405,0
15154,4
33709,1
42911,1
46857,1
29569,2
106395,1
67301,4
132722,1
130573,4
77950,1
16399,2
54935,33
112319,2
